name,street,phone,x_studio_sales_rep,comment
Munna bike centre,"Nala par,Bhootnath ,Near HIG ,Near TV tower ,Next to Remold",+91 98527 14055,Manas,
Naseem repairing works,"Sanichra more,Dargah road,Devi stahn ,Kumhrar",+91 93341 63203,Manas,Keep stock of running items in genuine brand + local (OES)Lubricant - elf total max use + motul less use Approx- 100 ltr oil monthly Motul pe 120 profit bchta hai 1 ltr wale p
Naushad kallu workshop,"Nayi sarak,nawab bhadur road",+91 93084 71192,Manas,Castrol bike point hai 375 me Castrol lete h aur 5 rupya extra milta hMagar parts me baat kr skte h order regular dete rhna h itne me order ane lgenge
New kallu workshop,"Opposite new patna clinic ,Nayi sarak",+91 93044 03315,Manas,Owner abscent but took details and gave the rate list to staff
Ok shri sai work shop,"Sanjay Ramlakhan path ,",+91 78708 15024,Manas,Uses mostly OEM but oes with original quality Motul + Castrol + hp + some localUses diamond chain kit on same percentage as others Suprajit cables on 30%
Om sai servicing centre,"Kankarbagh MIG -117,In front of gold Gym",+91 62025 05420,Manas,
Perfect auto,"Near Alamganj thana ,Gay ghat road",+91 93049 94073,Manas,"Uses - motul ,Castrol,Bosch *- Clutch assembly- MKCoupling rubber - Steelbird Break shoe -"
Prem Auto spare and service centre,"Main Kanti factory road ,kankarbagh",+91 87099 07276,Manas,
Prince motorcycle,"Surbhi bihar,Bhupati pur ,patna-20",+91 93862 70442,Manas,Owner abscent Uses hp& motul 40 ltr max per monthUses OES & OEM both
R.B bike service centre,"Opposite Santosh bike service centre,bhagwat nagar road,bhootnath",+91 99557 77187,Manas,
Raj kumar service centre,"New bypass road  ,Dhelma",+91 85418 79314,Manas,Motul CastrolMakharia auto Suprajit Oes
Raja bike service centre,"Station road ,Guljarbagh gumti",+91 84097 28124,Manas,
Rashi auto,"Gay ghat barrier k niche,Gay ghat road",+91 95233 47792,Manas,"Motul ,gulf ,Castrol buying 387 1 ltr from vinayak and motul ltr at 330 buys 80 ltrs one every 1.5 months Price ok but buys on credit suprajit But don't goes to shop delivers daily to shop from nearby retailer"
Remold House,"Near nbcc tower,Kanti factory road,Patna-26",+91 96084 37475,Manas,"Lubricants used -MOTUL,VEEDOL Deals only in genuine spare parts Takes parts and lubricants in credit Daily lubes used-5to7 litres"
Rk workshop,"Opposite to M/R cottage ,Dargah road chauraha ,Near banwari chowk",+91 72777 06615,Manas,Owner missingAman ji . Staff Revisit at evening Retail shop also with garage Castrol Mahendru ya bhattacarhya 2-3 baar visit daily
